ticker,accounts_payable,adx_14,altman_z,amortization,annual_return,asset_turnover,atr_14,avg_volume_20,avg_volume_50,beneish_m,beta,bollinger_pct,book_value_per_share,buyback_yield,capex,capex_ttm,cash,cash_conversion,cash_conversion_cycle,cash_ratio,cci_20,cost_of_revenue,cost_of_revenue_ttm,current_assets,current_liabilities,current_ratio,debt_to_equity,deferred_revenue,depreciation,depreciation_amortization,dio,dividend_yield,dividends_paid,dpo,dso,ebit,ebitda,effective_tax_rate,ema_20,ema_200,ema_50,enterprise_value,eps_basic,eps_basic_cagr_1y,eps_basic_cagr_3y,eps_basic_cagr_5y,eps_diluted,eps_diluted_cagr_3y,eps_diluted_cagr_5y,eps_diluted_growth_yoy,eps_ttm,eps_ttm_actual,ev_ebitda,ev_fcf,ev_sales,fcf_margin,fcf_margin_ttm,fcf_per_share,fcf_yield,financing_cash_flow,free_cash_flow,free_cash_flow_ttm,golden_cross,goodwill,goodwill_to_assets,gross_margin,gross_margin_ttm,gross_profit,gross_profit_cagr_1y,gross_profit_cagr_3y,gross_profit_cagr_5y,gross_profit_growth_yoy,gross_profit_ttm,health_score,high_52w,income_tax,income_tax_ttm,insider_buy_count,insider_buy_value,insider_net_shares,insider_sell_count,insider_sell_value,insider_sentiment,intangibles,interest_coverage,interest_expense,interest_expense_ttm,inventory,inventory_turnover,investing_cash_flow,long_term_debt,low_52w,macd,macd_hist,macd_signal,market_cap,max_drawdown,mfi_14,momentum_score,net_debt,net_debt_to_ebitda,net_income,net_income_cagr_1y,net_income_cagr_3y,net_income_cagr_5y,net_income_growth_yoy,net_income_ttm,net_margin,net_margin_ttm,obv,operating_cash_flow,operating_cash_flow_cagr_1y,operating_cash_flow_cagr_3y,operating_cash_flow_cagr_5y,operating_cash_flow_growth_yoy,operating_cash_flow_ttm,operating_expenses,operating_income,operating_income_cagr_1y,operating_income_cagr_3y,operating_income_cagr_5y,operating_income_growth_yoy,operating_income_ttm,operating_margin,operating_margin_ttm,pb_ratio,pct_from_52w_high,pct_from_52w_low,pe_ratio,pe_ttm,piotroski_f,ppe_net,pretax_income,pretax_income_ttm,price,price_vs_sma200,price_vs_sma50,quality_score,quick_ratio,rd_expense,rd_expense_ttm,rd_intensity,receivables,receivables_turnover,retained_earnings,return_1m,return_1y,revenue,revenue_cagr_1y,revenue_cagr_3y,revenue_cagr_5y,revenue_growth_yoy,revenue_ttm,roa,roa_ttm,roc_20,roc_60,roe,roe_ttm,rsi_14,sga_expense,shareholder_equity,shareholder_equity_cagr_1y,shareholder_equity_cagr_3y,shareholder_equity_cagr_5y,shareholder_equity_growth_yoy,shareholder_yield,shares_outstanding,sharpe_ratio,short_interest,short_term_investments,sma_20,sma_200,sma_50,sortino_ratio,stochastic_d,stochastic_k,stock_based_comp,stock_buybacks,total_assets,total_assets_cagr_1y,total_assets_cagr_3y,total_assets_cagr_5y,total_assets_growth_yoy,total_debt,total_liabilities,total_liabilities_calc,value_score,volatility_annual,williams_r,working_capital
A,615000000.0,51.3123,5.72,19000000.0,-1.72,0.5422617653945212,3.984287806919643,1839654.1,2137765.64,-2.43,1.01,77.07271325199763,24.43616390529348,0.979849479681341,93000000.0,403000000.0,1807000000.0,88.4113584036838,130.37334898450297,0.7869292748433303,102.0362,845000000.0,3418000000.0,4763000000.0,2269000000.0,2.0658012533572068,0.4415170816444702,665000000.0,178000000.0,67000000.0,116.95461422087746,0.6501589488709133,72000000.0,66.48411497730712,79.90284974093264,1479000000.0,1767000000.0,9.198606271777003,147.57551898524667,130.6371786125956,139.80595866477415,44666008846.56439,1.2,3.38,3.09,14.52,1.2,3.0180455204013246,14.719612881567535,3.160270880361187,4.57,5.0103,25.277877106148495,38.77257712375381,6.428613823627575,16.580310880829018,13.7306,4.075052232035045,2.6559684719833054,-222000000.0,1152000000.0,993000000.0,1.0,4484000000.0,34.99570748458597,52.43235463442717,,,,,,,,66.1,159.0,69000000.0,166000000.0,0.0,0.0,-1600.0,1.0,216671.99999999997,0.0,407000000.0,13.205357142857142,25000000.0,105000000.0,1089000000.0,3.120868744098206,-93000000.0,3051000000.0,109.77787780761719,5.225048720818847,0.6913179335291284,4.533730787289719,43374008846.56439,-43.193,71.4468,53.7,1292000000.0,0.7311827956989247,339000000.0,1.09,1.2858925982169422,12.627152728105306,1.0861132660977502,1414000000.0,18.753598157743234,19.552,21842718.0,268000000.0,-10.97,5.91824107008061,11.100828353911464,-10.96516276413478,1396000000.0,1436000000.0,399000000.0,-0.6,-2.9497737369916566,11.820019122396586,-0.6048387096774194,1555000000.0,21.286701208981,21.5017,6.278808460707063,-3.5031492605149372,39.76403601521905,33.573302554875546,30.6747,5.0,2099000000.0,408000000.0,1580000000.0,153.42999267578125,17.181346589800906,11.228126147969242,61.2,1.5917636526410026,126000000.0,473000000.0,6.548647092688544,1498000000.0,4.568047337278107,1692000000.0,11.27,27.157,1835000000.0,6.73,0.4844098070605929,5.409554484855006,6.728110599078341,7232000000.0,10.169359244517286,10.8228,11.269847962084633,13.550813801377526,18.862188766647364,19.854,74.06154809925594,465000000.0,7122000000.0,14.62,7.190335348449262,7.535006584205339,14.617554338808695,1.6300084285522543,282218158.0,-0.188,12.4,0.0,146.53199996948243,130.93380229949952,137.94172210693358,-0.3,81.9309,67.7595,41000000.0,152000000.0,13065000000.0,7.55,5.476567139101807,5.7813118468000635,7.545744502266241,3051000000.0,5943000000.0,5905000000.0,35.0,30.426,-32.2405,2381000000.0
AA,1860000000.0,32.0974,1.71,6000000.0,5.465,0.7955235910471821,2.473822670269714,5251670.6,6069078.24,-2.378,1.577,68.27515064101662,23.25330312638798,0.0,119000000.0,644000000.0,1352000000.0,49.00605012964564,,0.42015259142330963,42.2644,,,5885000000.0,3834000000.0,1.4388318863456986,0.398659692710036,,,173000000.0,,0.7708333809470062,27000000.0,,30.26732133115112,,,-5.169172932330826,49.8402773660542,53.596149329190766,51.880617750592194,14333891058.51007,1.54,1592.31,,,1.53,,,1580.769230769231,4.37,,,25.280231143756737,1.1171296904769754,4.4189852700491,2.1098,2.1550544087384744,4.202524298047621,60000000.0,567000000.0,287000000.0,0.0,0.0,0.0,,,,,,,,,47.4,83.6277084350586,73000000.0,-30000000.0,0.0,0.0,-10600.0,2.0,520784.0,0.0,34000000.0,,36000000.0,120000000.0,2340000000.0,,-129000000.0,2438000000.0,30.68766212463379,0.4169910320240149,0.38311354137718245,0.0338774906468324,13491891058.51007,-75.459,51.7423,26.0,842000000.0,,407000000.0,1828.33,,,1828.3333333333335,1277000000.0,9.017223910840933,9.3876,122929512.0,-179000000.0,90.51,12.966284337001422,24.636264934175102,90.5144694533762,931000000.0,2237000000.0,,,,,,,,,2.205278041600208,-38.68061227682862,67.10298285685658,11.734553496406606,10.5653,5.0,6899000000.0,482000000.0,1216000000.0,51.279998779296875,-9.966814058592,2.7266022506716725,53.8,0.8660878716127335,11000000.0,21000000.0,0.18704699555763385,1538000000.0,12.05921052631579,508000000.0,15.824,62.531,3966000000.0,7.87,1.0071437935283534,6.680824888933179,7.868852459016394,13603000000.0,7.173414346828694,7.5773,15.823967996374355,-33.82339968021172,18.91140895717555,17.327,57.88125943915595,101000000.0,7370000000.0,18.63,6.421478054096075,13.065487180706125,18.63486523172387,0.7708333809470062,263102406.0,0.026,12.4,,49.10715656280517,56.95677459716797,49.91890869140625,0.042,50.6006,54.6368,13000000.0,0.0,16853000000.0,14.68,3.010050113624674,1.6524210109031712,14.68287827076223,2439000000.0,9416000000.0,10011000000.0,71.0,55.904,-45.3632,1668000000.0
AAPL,64525000000.0,34.4159,11.64,1200000000.0,16.584,1.0971903284233726,6.0232264996836875,52252896.8,56640158.72,-2.18,1.176,44.20759338574253,5.998216790477234,1.9880395480259403,2373000000.0,12148000000.0,39544000000.0,88.17694848674226,-71.88334474825817,0.27910228063584347,-13.2197,54647000000.0,239700000000.0,149818000000.0,149326000000.0,0.9737446648641658,1.0035151377707223,9538000000.0,8000000000.0,3214000000.0,9.704810825488776,0.3379695722691628,3921000000.0,116.60144370021723,35.013288126470286,133050000000.0,144748000000.0,15.610002335586042,311.78499708438386,282.99213495496474,309.23122668629287,4606019795177.094,2.03,22.59,6.79,17.74,2.02,6.880679389561806,17.86178028193879,22.69736842105263,7.46,8.8254,31.820956387494775,46.63521009220786,11.067879486970412,23.732882225869314,26.4177,6.717608320048361,2.164596377946203,-39656000000.0,98767000000.0,123324000000.0,1.0,5889000000.0,1.552609169068039,46.90516410716045,48.6529,54770000000.0,8.04,4.56,13.21,8.035066940442654,227123000000.0,45.7,339.78692626953125,6478000000.0,26976000000.0,0.0,0.0,-400753.0,16.0,112624671.67999999,0.0,25417000000.0,33.82913806254767,3933000000.0,3933000000.0,11092000000.0,37.61021276595745,-4886000000.0,71340000000.0,225.955322265625,-1.4139225542554072,-0.2258918846657858,-1.1880306695896214,4562836795177.094,-33.361,57.632,48.7,43183000000.0,0.2983322740210573,29789000000.0,19.5,3.92,14.3,19.495177946573357,128930000000.0,26.91506412181824,27.6186,3168133836.0,53925000000.0,-5.73,-3.0,6.68,-5.726656180763441,135472000000.0,19075000000.0,35695000000.0,7.98,3.66,14.95,7.981106349824699,154859000000.0,31.970799762591884,33.173,51.738709549575844,-8.666292801472375,37.345734203625454,41.60053570213011,35.39,7.0,51431000000.0,36267000000.0,155906000000.0,310.3399963378906,10.348990957642545,0.015124782861541952,77.6,0.9375612039392242,11729000000.0,42901000000.0,8.302075398703867,31398000000.0,10.42461361188347,11326000000.0,-7.807,36.761,109417000000.0,6.43,1.81,8.68,6.425511782832739,466823000000.0,29.530948043353888,33.6398,-7.806938925078921,-0.60873748375605,127.00986506406622,119.9126,51.59353498894242,7346000000.0,107520000000.0,32.1,15.84,5.9,32.10401749603044,2.326009120295103,14608963000.0,0.448,12.4,,312.88634033203124,281.23501052856443,310.2930651855469,0.647,49.518,49.5687,3594000000.0,24701000000.0,383266000000.0,10.23,3.04,1.39,10.233517880756208,82300000000.0,275746000000.0,291107000000.0,19.8,28.06,-50.4313,-4263000000.0
ABBV,3592000000.0,28.1705,,1700000000.0,21.556,0.4565541952821738,5.516198294503348,5345746.7,6981886.68,-2.87,0.298,84.36222046193286,,,265000000.0,1244000000.0,6569000000.0,421.5806909607194,102.37924079745015,0.12079281110674767,103.6293,4291000000.0,18365000000.0,33669000000.0,41642000000.0,0.6713483794959458,-19.725688073394494,,194000000.0,,99.2702153372885,,3086000000.0,72.0215337288508,75.13055918901243,15075000000.0,23214000000.0,35.83447021373352,255.03422707688682,225.42984279055327,246.66040111558559,,2.04,-1.25,-29.1,-2.79,2.03,-29.129392066559014,-2.7994729541583996,-1.255230125523023,2.36,,,,,29.130150425114454,31.0316,,,919000000.0,17816000000.0,19980000000.0,1.0,35519000000.0,26.60495670349358,70.23544800523219,,12066000000.0,,,,,,54.0,265.9700012207031,662000000.0,2383000000.0,0.0,0.0,-78989.0,6.0,18922198.130000003,0.0,49139000000.0,5.210853784998272,746000000.0,2916000000.0,5127000000.0,3.67683296303777,-574000000.0,64503000000.0,195.98501586914062,4.111375567419401,1.315119723595394,2.796255843824007,,-21.915,65.5732,75.9,59274000000.0,2.5533729645903334,3613000000.0,-1.22,-29.06,-1.75,-1.2155212716222534,6310000000.0,6.909744931327665,9.8003,409436466.0,3829000000.0,1.19,-8.62,1.59,1.1911092204615548,21224000000.0,10558000000.0,6432000000.0,64.99,-5.94,5.82,64.98850826310604,16870000000.0,24.648463047743626,26.2013,,-0.5451788548995085,34.969496438591065,112.08474110748809,,6.0,5796000000.0,4278000000.0,8699000000.0,264.5199890136719,18.069792984686384,6.633506471587691,41.3,0.5569775231583081,,,,13824000000.0,4.858209548018111,-17333000000.0,2.962,29.5,16990000000.0,8.57,1.75,5.95,8.566762523520431,64386000000.0,3.154673036727381,4.6701,2.962121070836621,21.850981849768658,-129.23547400611622,-106.3184,75.95186757582279,3632000000.0,-5935000000.0,,,,-198.34586466165413,,,0.745,12.4,28000000.0,253.67449951171875,224.03697196960448,248.06460723876953,0.945,87.5824,90.4928,444000000.0,1489000000.0,135115000000.0,-0.89,-1.18,-2.31,-0.8885699277158352,64503000000.0,,137230000000.0,6.0,23.551,-9.5072,-14227000000.0
ABEV,,48.29,,,2.05,,0.06537856374468122,37485430.25,28619512.1,,0.54,45.721441104765866,,,,,,,,,-20.128,,,,,,,,,,,,,,,,,,2.917057367101555,2.877347657139116,2.9980434078807114,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,50.0,3.4202311038970947,,,0.0,0.0,-777647.0,4.0,2398355.76,0.0,,,,,,,,,2.103990316390991,-0.06259210591114606,0.002007575051096583,-0.06459968096224264,,-38.915,29.0097,27.0,,,,,,,,,,,55625905.0,,,,,,,,,,,,,,,,,-14.625649916848428,38.78391233770833,,,,,,,2.9200000762939453,1.0432877067625412,-3.9894339027447767,50.0,,,,,,,,-4.886,31.316,,,,,,,,,-4.885988931941432,-8.489371315391947,,,36.36365114164553,,,,,,,,,-0.065,12.4,,2.9414999723434447,2.889850620031357,3.0413320064544678,-0.103,37.3206,51.5152,,,,,,,,,,,50.0,30.133,-48.4848,
ABNB,144000000.0,64.1628,,13000000.0,3.494,0.5511977665706052,7.231850760323661,5546339.55,4385309.82,-2.88,1.527,79.00919006058558,,,6000000.0,25000000.0,6821000000.0,184.0099678370805,,0.48062129093706496,87.2558,633000000.0,2250000000.0,25479000000.0,18092000000.0,1.3771704886804894,0.24393218685205512,2831000000.0,17000000.0,42600000.0,,,,40.59443911792905,5.546115513438445,2544000000.0,2586600000.0,19.95537137392413,173.77517267417852,141.34065219960289,159.42454256533796,,,,,,,,,,,,,,,37.750183808512375,34.5011,,,2970000000.0,4621000000.0,4540000000.0,1.0,754000000.0,3.395172910662824,82.95890858589985,,,,,,,,60.9,190.2100067138672,81000000.0,672000000.0,0.0,0.0,-5451333.0,152.0,812996347.4434997,0.0,16000000.0,,,,,,-461000000.0,2476000000.0,111.54000091552734,10.763796242000495,1.0718214398449817,9.691974802155514,,-60.19,76.0233,63.5,-4560000000.0,-1.7629320343307817,816000000.0,-5.18,9.876960936639634,,-5.1757528935952175,2691277000.0,20.51529286822972,20.452,100534591.0,1708000000.0,2.83,10.644125808046745,,2.83311199645861,4565000000.0,2850000000.0,758000000.0,-0.35,12.181378776036711,,-0.35252643948296125,2738000000.0,20.782615799362798,20.8071,,0.0,70.53075591950106,,,5.0,107000000.0,897000000.0,3363000000.0,190.2100067138672,39.335792008039874,22.886985575970044,73.2,1.3771704886804894,672000000.0,2486000000.0,19.23045502818397,209000000.0,65.81182795698925,-6653000000.0,29.518,46.405,3608000000.0,10.26,13.378255972989695,29.369366217901003,10.259412718429111,13159000000.0,11.307983609510085,9.3597,29.517912245235323,41.420079341165206,30.62906452006342,34.508,80.42131473460964,,7799000000.0,-2.53,13.822651497789916,23.09562890649104,-2.5320970042796005,,,-0.011,12.4,5248000000.0,171.14425048828124,136.51194999694823,154.7845004272461,-0.017,92.5675,92.7457,410000000.0,1088000000.0,28754000000.0,5.96,11.460181660615687,16.18080492677032,5.95925378119185,2476000000.0,20955000000.0,14009000000.0,50.0,44.346,-7.2543,5148000000.0
ABT,,38.069,,422000000.0,0.613,0.5112036257539239,2.3000008719308034,8205671.25,11679744.5,-2.511,0.501,97.4810427549188,,,399000000.0,2086000000.0,6803000000.0,113.3507050889025,,0.5166100872938895,156.6905,4890000000.0,19741000000.0,25508000000.0,18377000000.0,1.5758971871968963,0.24801457893727222,,381000000.0,,122.57984367720897,,1098000000.0,,65.28796697347049,8053000000.0,11169000000.0,22.938814079848807,109.73604891470188,104.90989490690755,103.2332106362869,,0.62,-51.37,-1.81,8.16,0.61,-1.6467472577444187,8.273103706617114,-51.30890052356021,3.72,,,,,16.682458040064972,16.3469,,,17313000000.0,7395000000.0,7378000000.0,0.0,35221000000.0,27.717873905873397,56.418065331167654,,4397000000.0,,,,,,63.9,133.5335235595703,372000000.0,1861000000.0,3.0,1301477.0,4151.0,7.0,1127825.9200000002,53.6,17875000000.0,12.642072213500786,141000000.0,625000000.0,6989000000.0,2.9776510480887795,-20324000000.0,29638000000.0,81.97532653808594,4.343210412625993,0.27542092410872776,4.067789488517265,,-39.64,83.9523,72.4,4407000000.0,0.39457426806338974,1077000000.0,-51.32,-2.0064290219131475,7.735008747967265,-51.320698403223396,6276000000.0,14.717560007218914,13.9053,13868525.0,1315000000.0,11.78,-0.052213877495821404,3.8985921839060023,11.778452909558307,9464000000.0,9819000000.0,1345000000.0,17.99,-1.247254497889061,8.494372054635724,17.992673992673993,7705000000.0,18.166847139505503,17.0714,,-12.628683001165664,42.32331006908541,31.362902733587447,,4.0,12377000000.0,1449000000.0,8137000000.0,116.66999816894531,10.228221766757951,16.429255065965066,46.6,1.1825897187196897,767000000.0,2993000000.0,6.636888648258438,8210000000.0,5.590616723420355,49956000000.0,11.657,-9.973,11164000000.0,5.67,0.5127944169646348,5.075224605174555,5.6686531585220505,45134000000.0,7.523670037941255,5.6833,11.656618388542462,36.15541346196309,12.514866679455208,12.0551,90.35279242047491,3740000000.0,52061000000.0,9.37,12.42488562192925,9.719837765426975,9.369754951325948,,,-0.148,12.4,492000000.0,109.86699981689453,105.84403549194336,100.20677200317382,-0.211,93.8005,94.9011,317000000.0,180000000.0,110429000000.0,6.51,5.219565785838265,3.631492636765987,6.508708575920603,12929000000.0,,34583000000.0,39.9,22.96,-5.0989,9500000000.0
ABVX,,20.4787,,,155.814,,4.091534750802176,904811.7,1555714.68,,1.639,24.312979511389248,,,,,,,,,-71.9647,,,,,,,,,,,,,,,,,,121.82663439183176,110.17313539079754,122.12747910804447,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,50.0,145.30999755859375,,,0.0,0.0,0.0,0.0,0.0,50.0,,,,,,,,,72.5,-2.3406938369293044,-1.0238437224183379,-1.3168501145109666,,-67.464,38.9317,41.4,,,,,,,,,,,41769834.0,,,,,,,,,,,,,,,,,-18.84247313566808,62.66206938644936,,,,,,,117.93000030517578,-1.0025660050971275,-3.781273717109135,50.0,,,,,,,,-5.071,52.246,,,,,,,,,-5.071241150704031,-11.083468322741263,,,38.075445659939156,,,,,,,,,0.428,12.4,,122.60374908447265,119.12430004119874,122.56449951171875,3.171,13.1465,22.9362,,,,,,,,,,,50.0,354.993,-77.0638,
ACGL,,22.9086,1.12,30000000.0,20.763,0.2514985929001401,1.7196431841169084,1609550.55,1854080.22,-2.457,0.471,66.1010405198535,67.42618384401115,5.232536364219262,,,1109000000.0,,,,67.3716,,,,,,,,,,,,,,,,,14.73153711959682,99.53435037654425,95.91475005386927,98.73979782846006,35108039123.53516,3.05,3.14,44.76,28.47,3.0,45.06349306453876,28.429260271004964,3.663985701519215,11.6,13.0696,,,1.7616558343888382,,,,,-827000000.0,,,1.0,607000000.0,0.7660175919031814,,,,,,,,,20.1,106.4800033569336,164000000.0,687000000.0,1.0,498650.49999999994,-41547.0,6.0,3919466.0135000004,11.3,534000000.0,,44000000.0,156000000.0,,,-639000000.0,,84.72000122070312,0.054533163690337005,0.1257915053693356,-0.07125834167899857,36101039123.53516,-22.432,50.6254,63.3,-993000000.0,,1057000000.0,2.02,43.9094129254531,25.632882605142715,2.0176252319109462,4692000000.0,22.07336042952481,24.3968,288112689.0,1188000000.0,-7.51,17.38317452588982,16.415476647090376,-7.507867525850442,5902000000.0,,,,,,,,,,1.4914087054257272,-5.5597347968663,18.696879260690793,8.668965306775323,7.6942,5.0,,5159000000.0,5159000000.0,100.55999755859375,4.993725327286569,1.4787867352518802,65.1,,,,,,,29129000000.0,-5.56,9.447,4668000000.0,14.27,27.50939592473798,18.556783699532264,14.271788990825687,19232000000.0,5.551419088603122,5.5084,-5.5597347968663,12.558766152472444,18.17318020325539,19.5256,57.98044361385581,,24030000000.0,16.26,23.31017920140781,13.055404605706888,16.263208453410183,5.232536364219262,359000000.0,0.681,12.4,,99.49549980163575,95.77714977264404,99.0945997619629,0.97,78.5613,77.9697,82000000.0,783000000.0,85179000000.0,11.75,18.195170794075246,12.85685131159724,11.754999576904634,,61149000000.0,55035000000.0,84.6,24.633,-22.0303,
ACN,3176740000.0,26.9487,,164352000.0,-9.532,1.0768876688770799,7.531427655901227,6405711.95,9417780.78,-2.657,0.925,92.59118760766893,,,156582000.0,604416000.0,10165245000.0,141.622125243523,,0.48497950973439025,133.9201,12583809000.0,49698847000.0,28938345000.0,21609107000.0,1.410633245882534,,6529286000.0,143592000.0,1443225000.0,,,705567000.0,22.864809850317815,72.98521936273801,10225664000.0,11668889000.0,23.738069224809603,172.96293814094554,195.1768964586832,165.20995287646065,,3.82,6.22,4.18,8.88,3.8,4.294707162088707,9.018412826190891,6.206293706293714,12.15,,,,,15.607715456166025,15.7476,,,-2911050000.0,10874360000.0,11511594000.0,0.0,25322800000.0,34.96476106395294,31.913952808418106,,,,,,,,50.3,282.7142639160156,761935000.0,2710404000.0,0.0,0.0,-10566.0,6.0,1722885.1903,0.0,2498992000.0,44.7404957231301,70645000.0,265819000.0,,,-504875000.0,,122.96148681640625,8.1651932058125,0.4509319194150949,7.714261286397405,,-68.174,71.472,35.5,-9649405000.0,-0.8269343379648225,2338989000.0,5.69,3.7419246152157637,8.494339408259455,5.693848973135758,7789752000.0,11.020675921455172,10.6562,-123683061.0,1664097000.0,25.66,6.34328210392936,6.911117442070269,25.663838251710352,12116010000.0,15542846000.0,3175298000.0,6.56,2.9660854453162244,9.439348733782694,6.563433118514707,10592234000.0,14.676657206710143,14.4899,,-34.02172349014965,51.69790444857318,15.352263274016202,,3.0,1619981000.0,3149828000.0,10649387000.0,186.52999877929688,-7.788520718430869,21.77859636202846,39.0,1.410633245882534,817300000.0,817300000.0,1.1730516409539957,13992742000.0,5.001012577436298,24025992000.0,21.076,-26.559,18718144000.0,7.36,4.193654176414818,9.465969836955225,7.360205326441206,73100595000.0,11.868030002505623,11.3212,21.07620520268656,5.814393332819745,24.875458828010803,24.4265,70.09486655605377,,31890566000.0,5.75,10.344606623059427,11.50597860786997,5.745048174071731,,,-0.434,12.4,6322000.0,174.6809989929199,202.28500858306884,153.17141464233399,-0.567,87.9025,93.7439,468992000.0,2330593000.0,68806561000.0,8.07,11.149934523383331,11.073621936164745,8.068396058199303,1024857000.0,,33830960000.0,74.8,31.2,-6.2561,8170173000.0
